2017-09-07,11
2017-09-08,11
2017-09-09,9
2017-09-10,9
2017-09-11,10
2017-09-12,10
2017-09-13,14
2017-09-14,17
2017-09-15,19
2017-09-16,13
2017-09-17,10
2017-09-18,12
2017-09-19,11
2017-09-20,10
2017-09-21,10
2017-09-22,9
2017-09-23,8
2017-09-24,7
2017-09-25,8
2017-09-26,8
2017-09-27,9
2017-09-28,9
2017-09-29,8
2017-09-30,8
2017-10-01,7
2017-10-02,9
2017-10-03,8
2017-10-04,8
2017-10-05,8
2017-10-06,8
2017-10-07,7
2017-10-08,8
2017-10-09,10
2017-10-10,10
2017-10-11,10
2017-10-12,16
2017-10-13,19
2017-10-14,13
2017-10-15,12
2017-10-16,13
2017-10-17,12
2017-10-18,12
2017-10-19,12
2017-10-20,14
2017-10-21,15
2017-10-22,12
2017-10-23,15
2017-10-24,15
2017-10-25,14
2017-10-26,14
2017-10-27,12
2017-10-28,10
2017-10-29,11
2017-10-30,13
2017-10-31,15
2017-11-01,19
2017-11-02,25
2017-11-03,23
2017-11-04,17
2017-11-05,17
2017-11-06,19
2017-11-07,17
2017-11-08,19
2017-11-09,18
2017-11-10,21
2017-11-11,21
2017-11-12,26
2017-11-13,23
2017-11-14,18
2017-11-15,18
2017-11-16,18
2017-11-17,21
2017-11-18,16
2017-11-19,15
2017-11-20,20
2017-11-21,21
2017-11-22,18
2017-11-23,17
2017-11-24,16
2017-11-25,17
2017-11-26,25
2017-11-27,34
2017-11-28,40
2017-11-29,65
2017-11-30,54
2017-12-01,40
2017-12-02,31
2017-12-03,31
2017-12-04,36
2017-12-05,37
2017-12-06,50
2017-12-07,100
